quarterID,"ratio of sleeplessness to sleep, restricted, male","ratio of sleeplessness to sleep, restriced, female","ratio, male","ratio, female","ratio, both sexes",moving average,sleepft,productionft,hworkft,leisureft,countft,sleeppt,productionpt,hworkpt,leisurept,countpt,sleepnw,hworknw,leisurenw,countnw
20134,0.1582183391,0.1674026251,0.0047698175,0.0088833943,0.0070527447,0.0071116731,514.6239013672,313.4258117676,195.5106964111,407.2104797363,1449,536.5260620117,197.1042175293,244.630279541,451.1637573242,403,562.2205810547,232.1210632324,595.1509399414,1206
20141,0.1995707452,0.1708848327,0.007687625,0.0081829177,0.0079616895,0.0074749698,509.3771057129,311.356628418,206.2521209717,402.8460388184,1416,527.1728515625,204.1196746826,232.625,459.6861572266,376,563.1678466797,244.5687561035,594.2276611328,1120
20142,0.1706991643,0.1592526734,0.0077770278,0.0089099566,0.0083951699,0.0076765341,506.1698608398,316.9866943359,194.5849304199,414.9165344238,1354,533.7951049805,197.8837890625,251.9755401611,441.7461853027,327,553.3726196289,248.9324798584,603.9239501953,1170
20143,0.1283866912,0.1378900707,0.0054132817,0.0078066993,0.006762797,0.0075431003,515.1351928711,312.0043029785,196.3247528076,409.2682495117,1398,551.8972167969,200.5500030518,220.2777709961,454.8916625977,360,559.1583862305,244.7909240723,586.4003295898,1124
20144,0.1807532161,0.1486719996,0.006990456,0.0073538595,0.007197516,0.0075792931,515.8698730469,307.7360839844,197.4425201416,407.2885131836,1383,538.1953735352,213.5459747314,209.3362121582,461.7155151367,348,558.3009643555,234.1266479492,592.8692626953,1216
20151,0.16231592,0.1583860517,0.0073077297,0.0094890306,0.0085641397,0.0077299057,511.8529663086,300.670501709,206.7544250488,413.2309570313,1299,537.3411254883,197.3527679443,250.2070007324,445.8950500488,343,558.1815795898,248.0138244629,590.7253417969,1085
20152,0.1568485945,0.1652031839,0.0063441345,0.0094724009,0.0080886763,0.0076532823,511.6734619141,312.1375732422,195.5691680908,410.3348388672,1323,532.4885253906,195.0393371582,235.3803253174,468.0426330566,305,558.6959228516,239.7876434326,608.3001098633,1003
20153,0.1253752857,0.154486686,0.0057408148,0.0102322353,0.0082441764,0.0080236271,515.227355957,297.6533203125,209.0543823242,409.703918457,1324,553.6513671875,195.2864837646,240.7594604492,440.6108093262,370,560.2919921875,250.268661499,580.4738769531,1072
20154,0.1370080113,0.1603541672,0.0069117146,0.0076704645,0.007334548,0.0080578851,513.4201660156,308.9323120117,195.9072875977,415.0750427246,1359,536.6763305664,195.9210510254,249.2552642822,444.8999938965,380,558.5883178711,247.0988464355,590.0690917969,1042
20161,0.1337588131,0.1417327374,0.0085963244,0.010404204,0.0095961634,0.008315891,510.2057495117,319.7511901855,201.336517334,402.9186706543,1254,533.6746826172,217.5903625488,226.0030059814,456.1084289551,332,562.706237793,268.4445495605,570.7986450195,1028
20162,0.100924395,0.1247035488,0.0078310994,0.0092672911,0.0086169504,0.0084479596,517.2578735352,303.6264343262,204.8991699219,404.4512329102,1210,541.845703125,195.0802459717,212.1604919434,475.7839355469,324,551.4625244141,250.0019989014,600.7852172852,1001
20163,0.1261329949,0.147508055,0.006989188,0.0088207265,0.0079888636,0.0083841314,516.5114746094,315.3516540527,198.9016418457,398.3819580078,1220,545.6279296875,194.4883728027,234.1715087891,446.3023376465,344,550.1486816406,244.01222229,593.2993774414,982
20164,0.1020423248,0.1298717707,0.0055550677,0.0075629777,0.0067039863,0.0082264909,512.7992553711,313.4401550293,205.4517364502,400.6308898926,1295,553.2430419922,180.6810150146,229.1746826172,465.2835388184,395,559.6813964844,236.5117340088,596.2599487305,1108
